"id","match_num","team","rst","side","gtime","gold","tot_dam","kill","death","assist","tower","inhibitor","herald","dragon","elder","baron","sight","total_cs","set"
1050,"17447",KDF,Defeat,Red Side,"30:11",46886,47045,4,10,4,3,0,1,0,0,0,49,971,2
1051,"17447",KDF,Victory,Blue Side,"36:30",68968,77495,25,7,79,9,1,2,4,0,1,64,1100,3
1052,"17447",HLE,Defeat,Red Side,"36:30",55140,64041,7,25,22,1,0,0,1,0,0,68,1108,3
1053,"17448",DRX,Defeat,Blue Side,"25:37",39051,34989,4,18,6,1,0,1,0,0,0,35,799,1
1054,"17448",DK,Victory,Red Side,"25:37",49286,60815,18,4,35,8,1,1,4,0,1,37,787,1
1055,"17448",DRX,Defeat,Blue Side,"27:13",39804,42294,1,17,3,1,0,1,1,0,0,38,824,2
1056,"17448",DK,Victory,Red Side,"27:13",54936,83555,17,1,46,11,2,1,3,0,1,42,901,2
1057,"17450",NS,Victory,Blue Side,"37:14",69821,72405,15,7,41,9,1,0,5,1,1,62,1265,1
1058,"17450",KT,Defeat,Red Side,"37:14",60112,61530,7,15,14,3,0,2,1,0,1,62,1188,1
1059,"17450",KT,Victory,Blue Side,"33:43",64174,72905,14,10,21,9,2,0,5,1,2,62,1154,2
1060,"17450",NS,Defeat,Red Side,"33:43",56905,54788,10,14,23,2,0,2,0,0,0,56,1106,2
1061,"17451",DRX,Defeat,Blue Side,"34:04",53568,47968,0,14,0,3,0,2,0,0,0,44,1123,1
1062,"17451",KDF,Victory,Red Side,"34:04",62893,74033,14,0,16,11,2,0,4,0,1,49,1139,1
1063,"17451",DRX,Victory,Blue Side,"40:58",76511,59392,16,11,36,10,2,2,4,0,1,72,1397,2
1064,"17451",KDF,Defeat,Red Side,"40:58",66821,84854,11,16,21,4,0,0,1,0,0,74,1257,2
1065,"17451",KDF,Defeat,Blue Side,"31:07",48585,52741,6,14,8,2,0,0,1,0,0,53,974,3
1066,"17451",DRX,Victory,Red Side,"31:07",60094,74391,14,6,15,11,3,2,3,0,1,39,1087,3
1067,"17452",T1,Victory,Blue Side,"19:05",44789,47062,19,4,38,8,1,2,1,0,0,22,737,1
